operation	card_status	pan_check	expiry_check	owner_check	request_source	audit_mode
CREATE	NEW	VALID	VALID	KNOWN	API	ENABLED
CREATE	NEW	INVALID_LENGTH	INVALID_FORMAT	UNKNOWN	ADMIN_PANEL	DISABLED
CREATE	NEW	INVALID_SYMBOLS	VALID	KNOWN	BATCH	ENABLED
UPDATE	ACTIVE	VALID	VALID	KNOWN	API	DISABLED
UPDATE	BLOCKED	VALID	INVALID_FORMAT	UNKNOWN	ADMIN_PANEL	ENABLED
UPDATE	EXPIRED	VALID	EXPIRED	KNOWN	BATCH	DISABLED
DELETE	BLOCKED	INVALID_LENGTH	INVALID_FORMAT	KNOWN	API	ENABLED
DELETE	ACTIVE	INVALID_SYMBOLS	VALID	KNOWN	ADMIN_PANEL	DISABLED
GET	ACTIVE	INVALID_LENGTH	VALID	UNKNOWN	BATCH	ENABLED
GET	BLOCKED	INVALID_SYMBOLS	INVALID_FORMAT	KNOWN	API	ENABLED
GET	EXPIRED	VALID	EXPIRED	UNKNOWN	ADMIN_PANEL	ENABLED
UPDATE	NEW	VALID	VALID	KNOWN	BATCH	DISABLED
GET	ACTIVE	VALID	INVALID_FORMAT	KNOWN	API	ENABLED
DELETE	EXPIRED	INVALID_LENGTH	EXPIRED	KNOWN	ADMIN_PANEL	DISABLED
