card_status	expiry_state	daily_limit	monthly_limit	balance	bin_lookup	issuer_source	card_management
INACTIVE	CURRENT	ABOVE	ABOVE	EQUAL	UNAVAILABLE	SWITCH	AVAILABLE
INACTIVE	EXPIRED	EQUAL	EQUAL	BELOW	AVAILABLE	BIN	UNAVAILABLE
ACTIVE	FUTURE	BELOW	BELOW	EQUAL	AVAILABLE	BIN	UNAVAILABLE
EXPIRED	EXPIRED	EQUAL	BELOW	ABOVE	UNAVAILABLE	SWITCH	AVAILABLE
EXPIRED	EXPIRED	ABOVE	EQUAL	ABOVE	AVAILABLE	BIN	AVAILABLE
BLOCKED	FUTURE	BELOW	EQUAL	BELOW	UNAVAILABLE	SWITCH	AVAILABLE
EXPIRED	EXPIRED	BELOW	ABOVE	EQUAL	AVAILABLE	BIN	UNAVAILABLE
BLOCKED	CURRENT	EQUAL	ABOVE	ABOVE	AVAILABLE	BIN	UNAVAILABLE
ACTIVE	CURRENT	ABOVE	ABOVE	BELOW	UNAVAILABLE	SWITCH	AVAILABLE
BLOCKED	CURRENT	ABOVE	BELOW	EQUAL	AVAILABLE	BIN	UNAVAILABLE
INACTIVE	CURRENT	BELOW	EQUAL	ABOVE	UNAVAILABLE	SWITCH	AVAILABLE
INACTIVE	FUTURE	EQUAL	ABOVE	ABOVE	AVAILABLE	BIN	UNAVAILABLE
EXPIRED	EXPIRED	ABOVE	BELOW	BELOW	AVAILABLE	BIN	AVAILABLE
BLOCKED	EXPIRED	EQUAL	EQUAL	EQUAL	UNAVAILABLE	SWITCH	AVAILABLE
ACTIVE	EXPIRED	EQUAL	EQUAL	ABOVE	AVAILABLE	BIN	AVAILABLE
INACTIVE	FUTURE	ABOVE	BELOW	ABOVE	AVAILABLE	BIN	UNAVAILABLE
